Image,Score
image(0001).png,0
image(0002).png,0
image(0003).png,0
image(0004).png,0
image(0005).png,0
image(0006).png,0
image(0007).png,0
image(0008).png,0
image(0009).png,0
image(0010).png,0
image(0011).png,0
image(0012).png,0
image(0013).png,0
image(0014).png,0
image(0015).png,0
image(0016).png,0
image(0017).png,0
image(0018).png,0
image(0019).png,0
image(0020).png,0
image(0021).png,0
image(0022).png,0
image(0023).png,0
image(0024).png,0
image(0025).png,0
image(0026).png,0
image(0027).png,0
image(0028).png,0
image(0029).png,0
image(0030).png,0
image(0031).png,0
image(0032).png,0
image(0033).png,0
image(0034).png,0
image(0035).png,0
image(0036).png,0
image(0037).png,0
image(0038).png,0
image(0039).png,0
image(0040).png,0
image(0041).png,0
image(0042).png,0
image(0043).png,0
image(0044).png,0
image(0045).png,0
image(0046).png,0
image(0047).png,0
image(0048).png,0
image(0049).png,0
image(0050).png,0
image(0051).png,0
image(0052).png,0
image(0053).png,0
image(0054).png,0
image(0055).png,0
image(0056).png,0
image(0057).png,0
image(0058).png,0
image(0059).png,0
image(0060).png,0
image(0061).png,0
image(0062).png,0
image(0063).png,0
image(0064).png,0
image(0065).png,0
image(0066).png,0
image(0067).png,0
image(0068).png,0
image(0069).png,0
image(0070).png,0
image(0071).png,0
image(0072).png,0
image(0073).png,0
image(0074).png,0
image(0075).png,0
image(0076).png,0
image(0077).png,0
image(0078).png,0
image(0079).png,0
image(0080).png,0
image(0081).png,0
image(0082).png,0
image(0083).png,0
image(0084).png,0
image(0085).png,0
image(0086).png,0
image(0087).png,0
image(0088).png,0
image(0089).png,0
image(0090).png,0
image(0091).png,0
image(0092).png,0
image(0093).png,0
image(0094).png,0
image(0095).png,0
image(0096).png,0
image(0097).png,0
image(0098).png,0
image(0099).png,0
image(0100).png,0
image(0101).png,0
image(0102).png,0
image(0103).png,0
image(0104).png,0
image(0105).png,0
image(0106).png,0
image(0107).png,0
image(0108).png,0
image(0109).png,0
image(0110).png,0
image(0111).png,0
image(0112).png,0
image(0113).png,0
image(0114).png,0
image(0115).png,0
image(0116).png,0
image(0117).png,0
image(0118).png,0
image(0119).png,0
image(0120).png,0
image(0121).png,0
image(0122).png,0
image(0123).png,0
image(0124).png,0
image(0125).png,0
image(0126).png,0
image(0127).png,0
image(0128).png,0
image(0129).png,0
image(0130).png,0
image(0131).png,0
image(0132).png,0
image(0133).png,0
image(0134).png,0
image(0135).png,0
image(0136).png,0
image(0137).png,0
image(0138).png,0
image(0139).png,0
image(0140).png,0
image(0141).png,0
image(0142).png,0
image(0143).png,0
image(0144).png,0
image(0145).png,0
image(0146).png,0
image(0147).png,0
image(0148).png,0
image(0149).png,0
image(0150).png,0
image(0151).png,0
image(0152).png,0
image(0153).png,0
image(0154).png,0
image(0155).png,0
image(0156).png,0
image(0157).png,0
image(0158).png,0
image(0159).png,0
image(0160).png,0
image(0161).png,0
image(0162).png,0
image(0163).png,0
image(0164).png,0
image(0165).png,0
image(0166).png,0
image(0167).png,0
image(0168).png,0
image(0169).png,0
image(0170).png,0
image(0171).png,0
image(0172).png,0
image(0173).png,0
image(0174).png,0
image(0175).png,0
image(0176).png,0
image(0177).png,0
image(0178).png,0
image(0179).png,0
image(0180).png,0
image(0181).png,0
image(0182).png,0
image(0183).png,0
image(0184).png,0
image(0185).png,0
image(0186).png,0
image(0187).png,0
image(0188).png,0
